date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:52:14	21004/21004	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-520c%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	D:/My%20Web%20Sites/test1/cdnjs.cloudflare.com/ajax/libs/popper.js/1.14.7/umd/popper.min.js	(from https://www.rapidtables.com/)
15:52:18	51/51	---MCZ	200	added ('OK')	text/plain	date:Mon,%2026%20Apr%202021%2011:22:17%20GMT	https://fonts.googleapis.com/robots.txt		(from https://www.rapidtables.com/)
15:52:18	58072/58072	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2025%20Jan%202021%2022:04:08%20GMT	https://stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	D:/My%20Web%20Sites/test1/stackpath.bootstrapcdn.com/bootstrap/4.3.1/js/bootstrap.min.js	(from https://www.rapidtables.com/)
15:52:19	15641/15641	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Apr%202021%2010:12:23%20GMT	https://www.rapidtables.com/calc/electric/Amp_to_kW_Calculator.html	D:/My%20Web%20Sites/test1/www.rapidtables.com/calc/electric/Amp_to_kW_Calculator.html	(from https://www.rapidtables.com/calc/electric/index.html)
15:52:19	10558/10558	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Feb%202021%2011:44:17%20GMT	https://www.rapidtables.com/calc/electric/Amp_to_kVA_Calculator.html	D:/My%20Web%20Sites/test1/www.rapidtables.com/calc/electric/Amp_to_kVA_Calculator.html	(from https://www.rapidtables.com/calc/electric/index.html)
15:52:20	9284/9284	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Feb%202021%2011:44:15%20GMT	https://www.rapidtables.com/calc/electric/amps-to-va-calculator.html	D:/My%20Web%20Sites/test1/www.rapidtables.com/calc/electric/amps-to-va-calculator.html	(from https://www.rapidtables.com/calc/electric/index.html)
15:52:20	9506/9506	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Feb%202021%2011:44:20%20GMT	https://www.rapidtables.com/calc/electric/Amp_to_Volt_Calculator.html	D:/My%20Web%20Sites/test1/www.rapidtables.com/calc/electric/Amp_to_Volt_Calculator.html	(from https://www.rapidtables.com/calc/electric/index.html)
15:52:20	17112/17112	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Apr%202021%2010:21:47%20GMT	https://www.rapidtables.com/calc/electric/Amp_to_Watt_Calculator.html	D:/My%20Web%20Sites/test1/www.rapidtables.com/calc/electric/Amp_to_Watt_Calculator.html	(from https://www.rapidtables.com/calc/electric/index.html)
15:52:21	11417/11417	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Feb%202021%2011:44:41%20GMT	https://www.rapidtables.com/calc/electric/electricity-calculator.html	D:/My%20Web%20Sites/test1/www.rapidtables.com/calc/electric/electricity-calculator.html	(from https://www.rapidtables.com/calc/electric/index.html)
15:52:21	9769/9769	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Feb%202021%2011:44:46%20GMT	https://www.rapidtables.com/calc/electric/energy-consumption-calculator.html	D:/My%20Web%20Sites/test1/www.rapidtables.com/calc/electric/energy-consumption-calculator.html	(from https://www.rapidtables.com/calc/electric/index.html)
15:52:21	11766/11766	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Feb%202021%2011:44:48%20GMT	https://www.rapidtables.com/calc/electric/energy-cost-calculator.html	D:/My%20Web%20Sites/test1/www.rapidtables.com/calc/electric/energy-cost-calculator.html	(from https://www.rapidtables.com/calc/electric/index.html)
15:52:21	10367/10367	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Feb%202021%2011:44:53%20GMT	https://www.rapidtables.com/calc/electric/ev-to-volt-calculator.html	D:/My%20Web%20Sites/test1/www.rapidtables.com/calc/electric/ev-to-volt-calculator.html	(from https://www.rapidtables.com/calc/electric/index.html)
15:52:22	7934/7934	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Feb%202021%2011:45:08%20GMT	https://www.rapidtables.com/calc/electric/Joule_to_Watt_Calculator.html	D:/My%20Web%20Sites/test1/www.rapidtables.com/calc/electric/Joule_to_Watt_Calculator.html	(from https://www.rapidtables.com/calc/electric/index.html)
15:52:22	8143/8143	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Feb%202021%2011:45:05%20GMT	https://www.rapidtables.com/calc/electric/Joule_to_Volt_Calculator.html	D:/My%20Web%20Sites/test1/www.rapidtables.com/calc/electric/Joule_to_Volt_Calculator.html	(from https://www.rapidtables.com/calc/electric/index.html)
15:52:22	10631/10631	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Feb%202021%2011:45:19%20GMT	https://www.rapidtables.com/calc/electric/kVA_to_Amp_Calculator.html	D:/My%20Web%20Sites/test1/www.rapidtables.com/calc/electric/kVA_to_Amp_Calculator.html	(from https://www.rapidtables.com/calc/electric/index.html)
15:52:22	8402/8402	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Feb%202021%2011:45:17%20GMT	https://www.rapidtables.com/calc/electric/kva-to-watt-calculator.html	D:/My%20Web%20Sites/test1/www.rapidtables.com/calc/electric/kva-to-watt-calculator.html	(from https://www.rapidtables.com/calc/electric/index.html)
15:52:23	8519/8519	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Feb%202021%2011:45:11%20GMT	https://www.rapidtables.com/calc/electric/kva-to-kw-calculator.html	D:/My%20Web%20Sites/test1/www.rapidtables.com/calc/electric/kva-to-kw-calculator.html	(from https://www.rapidtables.com/calc/electric/index.html)
15:52:23	8065/8065	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Feb%202021%2011:45:15%20GMT	https://www.rapidtables.com/calc/electric/kva-to-va-calculator.html	D:/My%20Web%20Sites/test1/www.rapidtables.com/calc/electric/kva-to-va-calculator.html	(from https://www.rapidtables.com/calc/electric/index.html)
15:52:23	15268/15268	---MCZ	200	added ('OK')	text/html	date:Fri,%2002%20Apr%202021%2010:12:21%20GMT	https://www.rapidtables.com/calc/electric/kW_to_Amp_Calculator.html	D:/My%20Web%20Sites/test1/www.rapidtables.com/calc/electric/kW_to_Amp_Calculator.html	(from https://www.rapidtables.com/calc/electric/index.html)
15:52:23	10957/10957	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Feb%202021%2011:45:26%20GMT	https://www.rapidtables.com/calc/electric/kw-to-volt-calculator.html	D:/My%20Web%20Sites/test1/www.rapidtables.com/calc/electric/kw-to-volt-calculator.html	(from https://www.rapidtables.com/calc/electric/index.html)
15:52:24	8453/8453	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Feb%202021%2011:45:37%20GMT	https://www.rapidtables.com/calc/electric/kW_to_kWh_Calculator.html	D:/My%20Web%20Sites/test1/www.rapidtables.com/calc/electric/kW_to_kWh_Calculator.html	(from https://www.rapidtables.com/calc/electric/index.html)
15:52:24	8199/8199	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Feb%202021%2011:45:25%20GMT	https://www.rapidtables.com/calc/electric/kw-to-va-calculator.html	D:/My%20Web%20Sites/test1/www.rapidtables.com/calc/electric/kw-to-va-calculator.html	(from https://www.rapidtables.com/calc/electric/index.html)
15:52:24	8409/8409	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Feb%202021%2011:45:23%20GMT	https://www.rapidtables.com/calc/electric/kw-to-kva-calculator.html	D:/My%20Web%20Sites/test1/www.rapidtables.com/calc/electric/kw-to-kva-calculator.html	(from https://www.rapidtables.com/calc/electric/index.html)
15:52:24	8459/8459	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Feb%202021%2011:45:33%20GMT	https://www.rapidtables.com/calc/electric/kWh_to_kW_Calculator.html	D:/My%20Web%20Sites/test1/www.rapidtables.com/calc/electric/kWh_to_kW_Calculator.html	(from https://www.rapidtables.com/calc/electric/index.html)
15:52:25	8623/8623	---MCZ	200	added ('OK')	text/html	date:Fri,%2005%20Feb%202021%2011:45:31%20GMT	https://www.rapidtables.com/calc/electric/kwh-to-watt-calculator.html	D:/My%20Web%20Sites/test1/www.rapidtables.com/calc/electric/kwh-to-watt-calculator.html	(from https://www.rapidtables.com/calc/electric/index.html)
